Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
"Special Sessions on ""Pluralism in Economics and Postcolonial Political Economy"" at the 2025 EAEPE Annual Conference","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Kessler, Oliver",2025-09-24,2025-09-26
Jubiläumsfeier: 15 Jahre ICAE,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Moderator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-12-12,2025-12-12
Jubiläumsfeier: 15 Jahre ICAE,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+4 weitere)",,2025-12-12,2025-12-12
Mapping the one percentDie unsichtbare Spitze,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2025-11-21,2025-11-21
Spaces of Contestation: Transgressing Policies and Practices of Eco-Social Transformation,"Teilnahme an Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Erweitern, um Werte anzuzeigen","Terhorst, Carlotta",,2025-09-18,2025-09-19
YSI & EAEPE Pre-Conference for Young Scholars 2025: Pluralist Perspectives on Digital Technologies and Societal Transformation,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)","Burnazoglu, Merve",2025-09-23,2025-09-23
"Session Research Area K ""Gender Economics and Social Identity"" @36th Annual Conference of European Association for Ecolutionary Political Economy (EAEPE)","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-09-25,2025-09-25
"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-09-24,2025-09-24
"Special Session ""Global and National Studies of Socio-Ecological Transformation"" @36th Annual Conference of the European Association of Evolutionary Political Economy (EAEPE)","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in (+1 weitere),"Erweitern, um Werte anzuzeigen","Hager, Theresa (+2 weitere)",,2025-09-24,2025-09-24
Early Career Writing & Research Skills Workshop in the Energy Justice Space,"Teilnahme an Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Erweitern, um Werte anzuzeigen","Terhorst, Carlotta",,2025-04-09,2025-04-11
"Moderation of Keynote given by Prof. Erin Cech: ""Who’s Afraid of DEI? How the Moral Commandments of Work Anchor Opposition to Workplace Equity Efforts"" @ SASE's 37th Annual Conference 2025","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-07-11,2025-07-11
Organization of the Open Assembly of the Women and Gender+ Forum @ SASE's 37th Annual Conference 2025,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-07-10,2025-07-10
"Discourse Net Conference: Discourse and the imaginaries of past, present and future societies: media and representations of (inter)national (dis)orders","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas (+1 weitere)",,2025-07-08,2025-07-08
Akademie für den Sozialen und Ökologischen Umbau,"Teilnahme an Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Erweitern, um Werte anzuzeigen","Verita, Carlotta (+6 weitere)",,2025-06-10,2025-06-11
A Just and Green Transformation in a Changing World,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)","Weber, Jan David",2024-09-04,2024-09-06
Akademie für den Sozialen und Ökologischen Umbau,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+3 weitere)",,2025-06-11,2025-06-11
Akademie für den Sozialen und Ökologischen Umbau,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa (+1 weitere)",,2025-06-10,2025-06-11
SASE WAG online event: Empowering Caregivers in Academia: An Online Exchange,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-04-10,2025-04-10
Utopias are dead. Long live Utopias!,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas","Gengnagel, Vincent (+1 weitere)",2024-11-14,2024-11-14
Festakt 10 Jahre ICAE und 70. Geburtstag von Walter Ötsch,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Rath, Johanna (+4 weitere)",,2020-09-25,2020-09-25
Mission Competition: Transdisziplinäre Perspektiven auf Wettbewerbs-gesellschaften,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Porak, Laura (+5 weitere)",,2022-09-28,2022-09-29
Back to the future? Pluralist economics coming of age in an era of multiple crises,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Porak, Laura","Reinke, Rouven",2022-10-10,2022-10-10
SASE WAG online event: Gender in the field of socio-economics – current and future perspectives,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2023-05-24,2023-05-24
Exzellent prekär. Diese Uni wollen wir nicht mehr!,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2023-04-22,2023-04-22
History and Content of Heterodox Economics,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Ramazotti, Paolo (+1 weitere)",2018-09-06,2018-09-08
Summer School Course: Complexity Economics - Theory and Computational Methods,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2018-08-03,2018-08-10
"Summer School Course: The Political Economy of Economic Complexity: Models, Data and Policy","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-09-11,2019-09-12
Summer School Course: Complexity Economics - Theory and Computational Methods,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2019-08-09,2019-08-16
