Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
Rethinking the economy – The contribution of pluralist economics,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2023-02-06,2023-02-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ZSL Baden-Württemberg,
Wirtschaft anders denken! Was ist plurale Ökonomik?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2022-09-30,2022-09-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ZSL Baden-Württemberg,
Wirtschaft anders denken! Was ist plurale Ökonomik?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2023-02-05,2023-02-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ZSL Baden-Württemberg,
Ökonomische Polarisierung in Europa,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2025-07-01,2025-07-01,,School of Social Sciences and Humanities (SSSH) (+1 weitere),Zentrum für Schulqualität und Lehrerbildung,
Ökonomische Polarisierung in Europa,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-11-06,2024-11-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Zentrum für Schulqualität und Lehrerbildung,
Ökonomische Polarisierung in Europa,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-06-11,2024-06-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Zentrum für Schulqualität und Lehrerbildung,
Das Performativity-Konzept und seine soziologietheoretische Fundierung,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2011-10-05,2011-10-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Zentrum für Agrarlandschaftsforschung (ZALF) Müncheberg,
Wechselseitige Kritik ist nur möglich mit nachvollziehbarer Forschung,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2022-12-29,2022-12-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ZBW Leibniz Informationszentrum Wirtschaft,
YSI Philosophy of Economics Working Group Coordinator (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Rath, Johanna",,2024-11-21,2024-11-21,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),YSI Philosophy of Economics Working Group Coordinator,
Young Economists Conference der AK Wien: (UN-)EMPLOYMENT IN TIMES OF TECHNICAL PROGRESS AND ECONOMIC CRISIS (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Schütz, Bernhard",,2016-10-04,2016-10-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Young Economists Conference der AK Wien: (UN-)EMPLOYMENT IN TIMES OF TECHNICAL PROGRESS AND ECONOMIC CRISIS,
Young Economists Conference der AK Wien: (UN-)EMPLOYMENT IN TIMES OF TECHNICAL PROGRESS AND ECONOMIC CRISIS (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Pühringer, Stephan",,2016-10-04,2016-10-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Young Economists Conference der AK Wien: (UN-)EMPLOYMENT IN TIMES OF TECHNICAL PROGRESS AND ECONOMIC CRISIS,
World Interdisciplinary Network for Institutional Research (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Gräbner-Radkowitsch, Claudius",,2017-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,World Interdisciplinary Network for Institutional Research,
