authors,title,year,type,citation,doi
"Pühringer S., Rath J., Griesebner T.",The political economy of academic publishing: On the commodification of a public good,2021,Aufsatz / Paper in SCI-Expanded-Zeitschrift,", in PLoS One, Vol. 16, Nr. 6, 2021",10.1371/journal.pone.0253226
"Kapeller J., Steinerberger S.","Stability , fairness and random walks in the bargaining problem",2017,Aufsatz / Paper in SCI-Expanded-Zeitschrift,", in Physica A: Statistical Mechanics and its Applications, Vol. 488, Elsevier, Seite(n) 60-71, 2017",10.1016/j.physa.2017.07.008
"Aistleitner M., Pühringer S.",Biased trade narratives and its impact on development studies: a multi-level mixed-method approach,2023,Aufsatz / Paper in SSCI-Zeitschrift,", in European Journal of Development Research, Vol. 35, Seite(n) 1322-1346, 2023",10.1057/s41287-023-00583-z
"Kapeller J., Wildauer R., Leitch S.",Can a European wealth tax close the green investment gap?,2023,Aufsatz / Paper in SSCI-Zeitschrift,", in Ecological Economics, Nr. 209, 2023",10.1016/j.ecolecon.2023.107849
"Gräbner-Radkowitsch C., Hager T., Hornykewycz A.",Competing for Sustainability? An Institutionalist Analysis of the New Development Model of the European Union,2023,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 57, Nr. 2, Seite(n) 676-683, 2023",10.1080/00213624.2023.2203637
"Gräbner-Radkowitsch C., Strunk B.",Degrowth and the Global South: The Twin Problem of Global Dependencies,2023,Aufsatz / Paper in SSCI-Zeitschrift,", in Ecological Economics, Vol. 213, 2023",10.1016/j.ecolecon.2023.107946
"Gräbner-Radkowitsch C., Strunk B.",Degrowth and the Global South? How Institutionalism can Complement a Timely Discourse on Ecologically Sustainable Development in an Unequal World,2023,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 57, Nr. 2, Seite(n) 476-483, 2023",10.1080/00213624.2023.2201640
Porak L.,Political sovereignty in tension with global capitalist accumulation: the case of the European socio-economic strategy,2023,Aufsatz / Paper in SSCI-Zeitschrift,", in Critical Policy Studies, 2023",10.1080/19460171.2023.2274542
"Aistleitner M., Kapeller J., Kronberger D.",The authors of economics journals revisited: evidence from a large-scale replication of Hodgson and Rothman (1999),2023,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Institutional Economics, Vol. 19, Nr. 1, Seite(n) 86–101, 2023",10.1017/S174413742200025X
"Altreiter C., Azevedo S., Porak L., Pühringer S., Wolfmayr G.",Winning city competition with a social agenda. The competition imaginary in Viennese urban development plans,2023,Aufsatz / Paper in SSCI-Zeitschrift,", in Urban Research & Practice, Seite(n) 10.1080/17535069.2022.2161834, 2023",10.1080/17535069.2022.2161834
"Gräbner C., Hornykewycz A.",Capability accumulation and product innovation: an agent-based perspective,2022,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Evolutionary Economics, Vol. 32, Seite(n) 87-121, 2022",10.1007/s00191-021-00732-9
"Kapeller J., Huwe V.",Critical junctures of hope: how to bridge the gap between the necessary and the feasible?,2022,Aufsatz / Paper in SSCI-Zeitschrift,", in GAIA - Ecological Perspectives for Science and Society, Vol. 31, Nr. 1, Seite(n) 10-13, 2022",10.14512/gaia.31.1.4
"Hirte K., Ötsch W., Pühringer S.",Die Netzwerkanalyse und der Umgang mit ihren Forschungsergebnissen,2022,Aufsatz / Paper in SSCI-Zeitschrift,", in Berliner Journal für Soziologie, Nr. 32, Seite(n) 153-163, 2022",10.1007/s11609-022-00462-0
"Pühringer S., Beyer K.",Divided We Stand? Professional Consensus and Political Conflict in Academic Economics,2022,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, forthcoming, 2022",10.2139/ssrn.3425768
"Kapeller J., Pühringer S., Grimm C.",Paradigms and Policies: The state of economics in the German-speaking countries,2022,Aufsatz / Paper in SSCI-Zeitschrift,", in Review of International Political Economy, Vol. 29, Nr. 4, Seite(n) 1183-1210, 2022",10.1080/09692290.2021.1904269
"Hager T., Heck I., Rath J.",Polanyi and Schumpeter: Transitional processes via societal spheres,2022,Aufsatz / Paper in SSCI-Zeitschrift,", in The European Journal for the History of Economic Thought, Vol. 29, Nr. 6, Seite(n) 1089–1110, 2022",10.1080/09672567.2022.2131865
"Gräbner-Radkowitsch C., Heimberger P., Kapeller J., Landesmann M., Schütz B.","The evolution of debtor-creditor relationships within a monetary union: Trade imbalances, excess reserves and economic policy",2022,Aufsatz / Paper in SSCI-Zeitschrift,", in Structural Change and Economic Dynamics, Vol. 62, Seite(n) 262-289, 2022",10.1016/j.strueco.2022.05.004
"Kapeller J., Wildauer R.",Tracing the invisible rich: a new approach to modelling Pareto tails in survey data,2022,Aufsatz / Paper in SSCI-Zeitschrift,", in Labour Economics, Vol. 75, Nr. 102145, 2022",10.1016/j.labeco.2022.102145
Heimberger P.,Corporate tax competition: A meta-analysis,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in European Journal of Political Economy, Vol. 69, Nr. 1020002, 2021",10.1016/j.ejpoleco.2021.102002
