Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Macht in wenigen Händen: Medien- und Internetkonzentration in Deutschland,"Theine, Hendrik",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,2026-03,KOMPASS Public Brief,"Theine, H. (2026). Macht in wenigen Händen: Medien- und Internetkonzentration in Deutschland. (KOMPASS Public Brief; Nr. 2026-03). https://kompass.blog/public-brief/macht-in-wenigen-haenden/",Socio-Ecological Transformation Lab
Wenn Reichtum zur Nachricht wird – was Medien über Umverteilung erzählen (und was nicht),"Verita, Carlotta (+1 weitere)",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,2026-01,KOMPASS Public Brief,"Theine, H., Verita, C., & Gartiser, M. (2026). Wenn Reichtum zur Nachricht wird – was Medien über Umverteilung erzählen (und was nicht). (KOMPASS Public Brief ; Nr. 2026-01). https://kompass.blog/public-brief/wenn-reichtum-zur-nachricht-wird/",Socio-Ecological Transformation Lab
"Nachhaltigkeit und Sozial ökologische Transformation - Begriffe, Debatten, Pfade","Hieselmayr, Sophie (+5 weitere)",2026,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Puchner, L. (Hrsg.), Hieselmayr, S., Griesebner, T., & Pühringer, S. et al. (2026). Nachhaltigkeit und Sozial ökologische Transformation - Begriffe, Debatten, Pfade. Podcast https://open.spotify.com/show/5twAKIcCADU2Rd28ylUGIi?si=3bc2eaa0cce544e6",Socio-Ecological Transformation Lab
Globale geo-ökonomische Unordnung: Europa braucht industriepolitische Antworten,"Porak, Laura",2024,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Porak, L. (2024). Globale geo-ökonomische Unordnung: Europa braucht industriepolitische Antworten. Blog Beitrag https://www.awblog.at/Europa/Europa-braucht-industriepolitische-Antworten",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Ahnungslos, aber nicht tatenlos – Wie ÖkonomInnen seit der Finanzkrise Politik mach(t)en","Pühringer, Stephan",2013,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Pühringer, S. (2013). Ahnungslos, aber nicht tatenlos – Wie ÖkonomInnen seit der Finanzkrise Politik mach(t)en. Blog Beitrag https://www.awblog.at/Wirtschaft/ahnungslos-aber-nicht-tatenlos-wie-die-deutschsprachigen-okono",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Ökonomische Krisen als Krankheiten und Katastrophen?,"Pühringer, Stephan",2014,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Pühringer, S. (2014). Ökonomische Krisen als Krankheiten und Katastrophen?. Blog Beitrag https://www.awblog.at/Europa/oekonomische-krisen-als-krankheiten-und-katastrophen",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Risiken im Schatten des Systems,"Beyer, Karl",2014,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Beyer, K. (2014). Die Risiken im Schatten des Systems. Blog Beitrag https://www.awblog.at/Europa/die-risiken-im-schatten-des-systems",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Nachfrageseitige Ursachen der Expansion des Schattenbankensystems,"Beyer, Karl",2015,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Beyer, K. (2015). Nachfrageseitige Ursachen der Expansion des Schattenbankensystems. Blog Beitrag https://www.awblog.at/Allgemein/nachfrageseitige-ursachen-der-expansion-des-schattenbankensyst",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Verteilungstendenzen im Kapitalismus: Globale Perspektiven,"Kapeller, Jakob (+1 weitere)",2015,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Kapeller, J., & Schütz, B. (2015). Verteilungstendenzen im Kapitalismus: Globale Perspektiven. Blog Beitrag https://www.awblog.at/Allgemein/verteilungstene-perspektiven",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Mehr öffentliche Investitionen sind sinnvoll und erforderlich,"Heimberger, Philipp",2016,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2016). Mehr öffentliche Investitionen sind sinnvoll und erforderlich. Blog Beitrag https://www.awblog.at/Wirtschaft/mehr-oeffentliche-investitionen-sind-sinnvoll-und-erforderlich",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
