title,date,type,id,person,citation,invited-by,original-title,place
Degrowth als neue Wirtschaftsordnung?,21.11.2024,Eingeladener Vortrag an anderen Institutionen,41783,Porak L.,", Österreich, 21.11.2024","FH OÖ, Campus Wels",,
Ökonomische Polarisierung in Europa,06.11.2024,Eingeladener Vortrag an anderen Institutionen,42365,Kapeller J.,", Deutschland, 06.11.2024",,,Zentrum für Schulqualität und Lehrerbildung
Woher kommt das Geld?,15.10.2024,Eingeladener Vortrag an anderen Institutionen,42368,Kapeller J.,", Österreich, 15.10.2024",,,"Beitrag im Rahmen der Abschlussveranstaltung zur Ausstellung „Wofür das Geld?“, Hall in Tirol"
"Vortrag bei Lernwerkstatt der Gewerkschaftsschule Oberösterreich zur Einführung in wissenschaftliches Schreiben ""Von der Idee zum Schreiben""",05.10.2024,Eingeladener Vortrag an anderen Institutionen,42752,Eder J.,", Österreich, 05.10.2024",,,
Superreichen-Netzwerke in Österreich,28.08.2024,Eingeladener Vortrag an anderen Institutionen,41781,Pühringer S.,", Österreich, 28.08.2024",AK Salzburg,,
Die grüne Transformation des EU-Verkehrssektors,20.06.2024,Eingeladener Vortrag an anderen Institutionen,41784,Porak L.,", Österreich, 20.06.2024",AK Oberösterreich,AK EU-Länderreferent*innentagung,AK Oberösterreich
Ökonomische Polarisierung in Europa,11.06.2024,Eingeladener Vortrag an anderen Institutionen,42373,Kapeller J.,", Deutschland, 11.06.2024",,,Zentrum für Schulqualität und Lehrerbildung
"Studienpräsentation ""Mobilitätswende produzieren"".",27.05.2024,Eingeladener Vortrag an anderen Institutionen,41384,"Cserjan L., Eder J., Hornykewycz A., Porak L., Pühringer S.",", Österreich, 27.05.2024",AK Wien,,"Wien, AK Wien"
Konversionsstrategien in der Landwirtschaft: Agrarische sozial-ökologische Transformation und die Landwirte,26.02.2024,Eingeladener Vortrag an anderen Institutionen,40319,Hirte K.,", Deutschland, 26.02.2024",Universität Göttingen,,
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,06.02.2024,Eingeladener Vortrag an anderen Institutionen,40364,"Cserjan L., Rath J.",", Österreich, 06.02.2024",JKU Linz,Schüler*innen Workshop an der JKU,
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,19.12.2023,Eingeladener Vortrag an anderen Institutionen,40356,"Hornykewycz A., Rath J.",", Österreich, 19.12.2023",JKU Linz,Schüler*innen Workshop an der JKU,
Sozialökologische Transformation braucht andere Wirtschaft,14.12.2023,Eingeladener Vortrag an anderen Institutionen,40341,Pühringer S.,", Österreich, 14.12.2023",Kulturhof Amstetten,,
Welche Wirtschaft(swissenschaft) braucht Sozialökologische Transformation?,14.12.2023,Eingeladener Vortrag an anderen Institutionen,40323,Pühringer S.,", Österreich, 14.12.2023",Kulturhaus Amstetten,,
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,14.11.2023,Eingeladener Vortrag an anderen Institutionen,40328,Pühringer S.,", Österreich, 14.11.2023","GÖD-Dialogforum Arbeitsplatz Universtität, Wien",,
Implicit and explicit rules of competition,08.11.2023,Eingeladener Vortrag an anderen Institutionen,40351,Porak L.,", Österreich, 08.11.2023",Österreichische Akademie der Wissenschaft,,Preisverleihung ÖAW Stipendium
Can a European wealth tax close the green investment gap?,08.09.2023,Eingeladener Vortrag an anderen Institutionen,40149,Kapeller J.,", Österreich, 08.09.2023",Ars Electronica Festival Linz,,Linz
Netzwerke der Superreichen in Österreich,01.08.2023,Eingeladener Vortrag an anderen Institutionen,40333,"Aistleitner M., Pühringer S.",", Österreich, 01.08.2023",AK Österreich,,Wien
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,20.06.2023,Eingeladener Vortrag an anderen Institutionen,38986,"Hornykewycz A., Rath J.",", Österreich, 20.06.2023",JKU Linz,Schüler*innen Workshop an der JKU,
Sustainable Socio-Economic Transition and Economic Reasoning,16.06.2023,Eingeladener Vortrag an anderen Institutionen,40336,Pühringer S.,", Österreich, 16.06.2023",Hearing zum FWF-START Preis 2023,,Wien
Wirtschaft anders denken? – Der Beitrag einer pluralen Ökonomie,04.05.2023,Eingeladener Vortrag an anderen Institutionen,37672,Kapeller J.,", Österreich, 04.05.2023",Kulturhof Amstetten,,
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,17.04.2023,Eingeladener Vortrag an anderen Institutionen,38985,"Hager T., Hornykewycz A.",", Österreich, 17.04.2023",JKU Linz,Schüler*innen Workshop an der JKU,
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,30.03.2023,Eingeladener Vortrag an anderen Institutionen,40367,Rath J.,", Österreich, 30.03.2023",JKU Linz,Schüler*innen Workshop an der JKU,
Wettbewerb in der Wissenschaft,16.03.2023,Eingeladener Vortrag an anderen Institutionen,40337,Pühringer S.,", Österreich, 16.03.2023","Mittelbau-Vollversammlung, JKU Linz",,Linz
Wissenschaft und Wettbewerb,16.03.2023,Eingeladener Vortrag an anderen Institutionen,37670,Pühringer S.,", Österreich, 16.03.2023",Netzwerk Unterbau Wissenschaft (NUWiss),,
What economic education is missing: the real world,07.03.2023,Eingeladener Vortrag an anderen Institutionen,40338,Pühringer S.,", Österreich, 07.03.2023","Workshops des DFG-Netzwerks Economic Criticism, PH Linz",,
Power and Influence of Economists: Contributions to the Social Studies of Economics,09.02.2023,Eingeladener Vortrag an anderen Institutionen,37625,"Maesse J., Pühringer S., Rossier T.",", Virtuell, 09.02.2023",Economic Research Council London,,online
Rethinking the economy – The contribution of pluralist economics,06.02.2023,Eingeladener Vortrag an anderen Institutionen,40339,Kapeller J.,", Deutschland, 06.02.2023",ZSL Baden-Württemberg,,
Wirtschaft anders denken! Was ist plurale Ökonomik?,05.02.2023,Eingeladener Vortrag an anderen Institutionen,37661,Kapeller J.,", Deutschland, 05.02.2023",ZSL Baden-Württemberg,,
Arbeitsbeziehungen im Wandel. Der Effekt von Digitalisierung auf die Ausgestaltung von Arbeitsverträgen und Kooperation,25.11.2022,Eingeladener Vortrag an anderen Institutionen,37271,"Hornykewycz A., Rath J.",", Österreich, 25.11.2022","AK Vorarlberg, Schaffarei",Technikfolgenabschätzung aus Arbeitnehmer:innenperspektive,
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,16.11.2022,Eingeladener Vortrag an anderen Institutionen,37604,Pühringer S.,", Österreich, 16.11.2022","2. Vernetzungsworkshops der School for Social Science and Humanities, JKU Linz",,
Verzerrte Expertise. Zur (Frei)handelsdebatte in den Wirtschaftswissenschaften,12.11.2022,Eingeladener Vortrag an anderen Institutionen,37341,"Hager T., Pühringer S.",", Österreich, 12.11.2022",,Entwicklungstagung 2022: Ungleiche Möglichkeiten,
Pluralismus in der Ökonomie (und die Klimafrage),02.11.2022,Eingeladener Vortrag an anderen Institutionen,37593,Kapeller J.,", Deutschland, 02.11.2022",Heinrich-Böll-Stiftung,,
Neoliberale Think Tanks und ihre Verbindungen zu Reichen-Netzwerken,17.10.2022,Eingeladener Vortrag an anderen Institutionen,37342,"Hager T., Hornykewycz A., Pühringer S.",", Österreich, 17.10.2022",,4. Österreichische Reichtumskonferenz,
Reichennetzwerke in Österreich,14.07.2022,Eingeladener Vortrag an anderen Institutionen,37615,Pühringer S.,", Österreich, 14.07.2022",AK Wien,,
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,29.06.2022,Eingeladener Vortrag an anderen Institutionen,37343,"Hager T., Hornykewycz A.",", Österreich, 29.06.2022",JKU Linz,Schüler*innen Workshop an der JKU,
Konsequenzen der Wettbewerbsorientierung von und an Universitäten,25.06.2022,Eingeladener Vortrag an anderen Institutionen,37617,Pühringer S.,", Österreich, 25.06.2022","Jahresversammlung des ULV, Universität Wien",,
The political economy of academic publishing: On the commodification of a public good,13.05.2022,Eingeladener Vortrag an anderen Institutionen,37621,"Pühringer S., Rath J.",", Österreich, 13.05.2022","Jahreskonferenz der Kritischen Kommunikationswissenschaften (KRIKOWI), WU Wien",,
Universitäten und Forschung im Wettbewerb,29.04.2022,Eingeladener Vortrag an anderen Institutionen,37623,Pühringer S.,", Österreich, 29.04.2022",Präsidiumssitzung des ULV,,online
Competition in Transitional Processes: Polanyi & Schumpeter,10.01.2022,Eingeladener Vortrag an anderen Institutionen,34539,"Hager T., Heck I., Rath J.",", Österreich, 10.01.2022",,Pluralumni Netzwerk,online
The political importance of technical details in the European Semester,29.11.2021,Eingeladener Vortrag an anderen Institutionen,34388,Heimberger P.,", Belgien, 29.11.2021",European Trade Union Institut,,
Fiscal policy and the Covid-19 crisis,24.11.2021,Eingeladener Vortrag an anderen Institutionen,34390,Heimberger P.,", Belgien, 24.11.2021",Belgium Central Economic Council,,
Budgetpolitik im Kontext der Covid-19-Krise,12.10.2021,Eingeladener Vortrag an anderen Institutionen,34397,Heimberger P.,", Österreich, 12.10.2021","Chamber of Labour Upper Austria, Linz",,
Budgetpolitik im Kontext der Covid-19-Krise,12.10.2021,Eingeladener Vortrag an anderen Institutionen,34395,Heimberger P.,", Österreich, 12.10.2021",FSG-Tagung der Gewerkschaft GPA,,Wien
How to reform the EU’s fiscal rules?,30.09.2021,Eingeladener Vortrag an anderen Institutionen,34398,Heimberger P.,", Österreich, 30.09.2021",New Economics Foundation and the European Trade Union Confederation,“Fiscal 2.0: A roadmap for the future?”,Teilnahme Panel-Diskussion
"A European Wealth Tax? Context, methods, revenues",28.09.2021,Eingeladener Vortrag an anderen Institutionen,33673,Kapeller J.,", Belgien, 28.09.2021",,"Conference “Fiscal Matters”, European Parliament","Brüssel, EU-Parlament"
Italy myths and the future of Europe,23.09.2021,Eingeladener Vortrag an anderen Institutionen,34399,Heimberger P.,", Italien, 23.09.2021",Austrian embassy in Rome,,Rom
Neoliberale Denkmuster als Basis des degressiven Arbeitslosengeldes,18.09.2021,Eingeladener Vortrag an anderen Institutionen,33619,Pühringer S.,", Österreich, 18.09.2021",Aktionskonferenz Arbeitslosengeld rauf!,,"Wien, Katamaran"
A European Wealth Tax,07.09.2021,Eingeladener Vortrag an anderen Institutionen,33674,Kapeller J.,", Belgien, 07.09.2021",,,"Brüssel, S&D FISC Working Group on Wealth Tax"
